Exporters	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	2407063	3200164	3623069	2744942	2089888	
"Australia"	584843	718268	1070691	770804	497179	
"Russian Federation"	395052	627452	630194	449420	387139	
"New Zealand"	243019	319320	388018	298072	258509	
"Brazil"	260852	322156	198444	160545	211795	
"United Arab Emirates"	195544	254086	280554	241197	173157	
"Saudi Arabia"	190004	337220	229824	237071	170748	
"Argentina"	72428	94275	125976	63045	107269	
"India"	47265	90792	197248	188520	96422	
"South Africa"	168942	158008	150707	151439	76331	
"Malaysia"	82435	76640	124800	74337	64460	
"Oman"	44670	41226	20285	14246	16496	
"Qatar"	4940	6699	5729	981	8502	
"Germany"	5769	6630	8591	9267	7959	
"Thailand"	137	156	215	166	3636	
"China"	2142	6958	5721	3415	3483	
"Bahrain"	21415	22003	14819	13933	3465	
"Norway"	5151	2707	5370	4586	2560	
"Venezuela, Bolivarian Republic of"	177	98	0	0	428	
"France"	245	117	248	163	206	
"Viet Nam"	0	70	242	137	121	
"United States of America"	15	8	3	3	21	
"Korea, Republic of"	87	0	0	5	2	
"Canada"	57334	94488	128122	48227	0	
"Indonesia"	24273	20788	37268	15317	0	
"Taipei, Chinese"	0	0	0	6	0	
"Nigeria"	324	0	0	0	0	
"Singapore"	0	0	0	41	0	
