Exporters	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	1313708	1532043	1676813	1193639	1149618	
"Iceland"	504752	689093	738102	555759	620316	
"Canada"	33411	21148	93949	138901	151519	
"Mozambique"	44188	63426	53865	81873	136306	
"Russian Federation"	547602	580831	541541	196839	53214	
"Norway"	13221	70	83	149	35649	
"South Africa"	0	53992	65044	87020	33739	
"United Arab Emirates"	22798	1937	15111	7750	23173	
"Oman"	1109	6755	14919	11428	18741	
"Ghana"	32836	20172	63992	26165	17766	
"Germany"	23407	17967	17284	9079	12382	
"France"	4171	1305	966	6918	8920	
"Belgium"	7989	8191	10041	5908	6708	
"Bahrain"	1732	151	0	22126	4989	
"Egypt"	152	93	381	6703	4891	
"India"	0	10577	16450	6052	4864	
"Italy"	177	762	5461	5238	4715	
"Saudi Arabia"	0	0	0	15789	3589	
"Brazil"	66728	32019	15075	3906	2519	
"Slovenia"	824	824	2109	1562	1512	
"Europe Othr. Nes"	0	0	0	0	1025	
"Spain"	44	186	9865	874	613	
"Cameroon"	4169	1558	4691	1773	578	
"China"	0	0	1	2	368	
"United Kingdom"	304	7464	334	360	310	
"Austria"	3095	1537	307	61	291	
"New Zealand"	123	282	58	329	277	
"Poland"	9	33	220	203	222	
"Romania"	8	2182	49	67	100	
"Portugal"	40	45	34	29	58	
"Albania"	0	0	0	0	47	
"Czech Republic"	13	708	54	55	43	
"Denmark"	1	3	33	30	43	
"Sweden"	9	6	87	132	30	
"Latvia"	11	4	7	5	14	
"Greece"	1	1	9	8	12	
"Ireland"	11	11	10	9	10	
"Slovakia"	5	6	19	18	10	
"Hungary"	38	1334	28	12	9	
"United States of America"	22	428	50	18	9	
"Bulgaria"	5	8	4	5	7	
"Croatia"	1	4	6	5	6	
"Estonia"	3	2	5	6	6	
"Lithuania"	16	42	25	5	6	
"Luxembourg"	32	16	9	15	6	
"Finland"	6	1	19	7	4	
"Korea, Democratic People's Republic of"	0	0	1584	0	0	
"Korea, Republic of"	0	0	811	0	0	
"Area Nes"	13	0	0	0	0	
"Bolivia, Plurinational State of"	0	156	0	0	0	
"Colombia"	0	107	347	0	0	
"Cyprus"	0	0	1	1	0	
"Hong Kong, China"	126	0	4	1	0	
"Kazakhstan"	0	5745	1974	0	0	
"Malta"	0	0	0	0	0	
"Qatar"	0	0	1469	0	0	
"Singapore"	0	0	0	141	0	
"Switzerland"	0	515	313	300	0	
"Venezuela, Bolivarian Republic of"	509	343	12	0	0	
