Exporters	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	
"World"	18606	21436	22145	23459	19770	
"Saudi Arabia"	15648	18211	18919	19794	15201	
"Turkey"	2080	2073	2573	2660	3211	
"New Zealand"	136	94	25	309	272	
"Finland"	0	0	0	0	248	
"Jordan"	142	212	106	222	219	
"France"	81	119	101	46	168	
"United States of America"	46	166	187	107	167	
"Philippines"	2	1	35	77	113	
"Iran, Islamic Republic of"	31	43	43	52	56	
"Poland"	11	19	12	3	24	
"United Kingdom"	209	170	25	7	17	
"Netherlands"	2	0	6	39	14	
"Thailand"	16	12	10	5	14	
"Germany"	6	0	4	10	9	
"India"	8	13	9	5	7	
"French Polynesia"	0	0	0	0	6	
"Bangladesh"	0	0	0	0	4	
"Yemen"	0	0	0	0	4	
"Cyprus"	16	0	0	7	3	
"United Arab Emirates"	0	0	0	27	3	
"Lebanon"	9	6	6	29	2	
"Morocco"	0	0	2	0	2	
"Ukraine"	0	0	0	2	1	
"Belgium"	1	0	0	0	1	
"Canada"	0	0	0	0	1	
"Czech Republic"	0	0	0	0	1	
"Italy"	0	0	1	8	1	
"Lao People's Democratic Republic"	0	0	0	1	0	
"Australia"	0	0	0	1	0	
"Dominican Republic"	0	5	0	0	0	
"Greece"	0	1	22	0	0	
"Hong Kong, China"	0	0	0	3	0	
"Indonesia"	0	1	0	1	0	
"Ireland"	159	51	0	0	0	
"Kuwait"	2	0	50	35	0	
"Latvia"	0	0	0	1	0	
"Malaysia"	0	0	0	1	0	
"Mexico"	0	0	1	0	0	
"Curaçao"	0	0	0	3	0	
"Spain"	0	22	4	2	0	
"Switzerland"	0	218	0	0	0	
"Syrian Arab Republic"	1	0	0	0	0	
"Egypt"	0	0	4	4	0	
"Uzbekistan"	0	1	0	0	0	
